522	4739	555
834	942	455
512	8333	130
483	4375	145
865	7054	270
498	965	120
927	4546	595
8	7200	250
735	1340	105
972	8053	445
480	271	40
962	2666	445
273	2315	675
222	5713	250
715	3610	595
695	1107	30
66	3823	595
199	8556	180
895	7836	285
153	7215	65
309	6828	405
407	1598	315
782	5494	590
212	2717	50
982	8740	180
594	2503	175
464	8552	610
343	3572	360
173	6734	345
655	9437	185
464	9094	510
391	9075	415
33	1283	530
776	5600	30
387	8123	590
634	6705	720
154	9132	195
186	5992	140
605	9696	280
562	6453	295
741	9088	90
633	9713	520
741	9759	405
265	5198	650
836	5612	485
506	5431	620
375	1725	370
665	7233	605
443	8987	40
914	3154	340
192	8841	525
825	8989	485
340	3139	70
981	7322	700
298	3565	685
945	2877	195
654	866	95
578	6543	590
541	2014	530
294	2522	465
300	4099	165
12	5387	660
988	3044	390
634	2283	330
613	7633	570
150	7514	385
84	920	675
561	3856	350
782	7300	410
848	3520	350
146	408	130
608	9597	95
421	66	595
458	5431	300
148	3744	85
674	5332	570
46	2722	545
861	433	45
79	7813	605
806	6199	340
1	1846	745
586	6576	400
784	5750	215
528	3332	65
190	455	590
633	45	485
878	9566	595
407	2399	430
116	5498	185
611	5233	40
767	3784	725
446	6730	205
120	6473	110
314	2676	610
401	1534	205
253	2823	645
609	2649	410
241	9693	170
98	9793	690
263	802	90
999	9753	145
212	9100	260
783	9463	110
134	5535	30
939	5107	440
445	1078	350
27	1813	430
177	5819	220
849	8560	555
429	5412	560
417	8313	75
403	4687	280
29	3074	245
769	4798	335
329	6343	5
163	9984	470
920	6704	410
494	2158	370
85	680	715
253	521	390
24	9893	475
633	9399	665
656	9709	220
610	8871	590
45	3879	470
458	8515	700
737	5628	230
481	2691	285
65	3213	25
713	8103	510
785	549	125
930	58	620
115	6949	315
379	1446	275
22	2649	120
498	4133	30
905	2061	400
451	1129	150
401	2094	570
528	4282	55
615	1458	185
94	2599	220
617	3206	470
219	3427	585
467	1698	685
966	5620	80
136	3917	290
608	1743	70
163	2890	70
62	2492	350
127	6492	680
812	4634	395
671	1946	665
857	9902	405
396	4813	185
772	4993	395
800	6636	440
643	9913	670
39	8545	445
236	1653	530
763	6117	630
369	4497	560
644	666	710
119	3028	435
428	3586	250
662	7271	595
295	7900	85
123	6931	460
748	1959	490
28	4504	360
792	3116	585
495	357	200
791	3819	85
636	9924	200
244	9821	680
540	4800	20
639	2131	515
149	3618	485
837	3077	640
996	8325	100
923	5775	405
851	9316	435
34	4189	240
618	7221	425
650	2618	650
189	2869	230
655	7085	185
915	9085	175
797	5615	160
133	2809	670
225	1445	620
41	5119	290
952	2056	545
401	5508	460
129	1012	395
845	6449	255
824	9048	135
396	1523	440
999	3426	595
872	1820	240
199	7512	670
207	339	140
903	9462	15
499	3701	125
849	6107	265
944	6134	670
775	519	320
277	6033	25
11	2236	275
575	5678	435
164	6109	500
848	5852	205
930	4208	470
905	5450	695
673	645	345
412	1064	95
951	2424	565
638	2583	275
408	259	435
614	8277	290
864	7405	645
1	5932	90
227	9250	745
581	6724	585
683	3113	530
626	8116	360
333	7191	250
744	2724	255
685	3454	495
944	664	300
611	7557	90
956	4726	685
983	7705	245
652	112	155
174	8013	80
176	2097	650
375	2390	340
398	1848	355
265	8837	385
161	4346	90
207	2292	535
